SYMBOL,Security Name
ALFATRAN,ALFA TRANSFORMERS LTD.
NHCFOODS,NHC FOODS LTD.
PVP,PVP VENTURES LTD.
TRIGYN,TRIGYN TECHNOLOGIES LTD.
KEI,KEI INDUSTRIES LTD.
KEERTHI,KEERTHI INDUSTRIES LTD.
SURAJ,SURAJ PRODUCTS LTD.
APCL,ANJANI PORTLAND CEMENT LTD.-$
MODINATUR,Modi Naturals Limited
PRSNTIN,PRASHANT INDIA LTD.
ZKHANDEN,KHANDELWAL EXTRACTION LTD.
TASTYBITE,TASTY BITE EATABLES LTD.
RITESHIN,RITESH INTERNATIONAL LTD.
AVTNPL,AVT NATURAL PRODUCTS LTD.
HNDFDS,HINDUSTAN FOODS LTD.
NAHARINDUS,NAHAR INDUSTRIAL ENTERPRISES LTD.-$
VADILENT,VADILAL ENTERPRISES LTD.
VADILALIND,VADILAL INDUSTRIES LTD.-$
ASHAI,ASHIANA AGRO INDUSTRIES LTD.
ADFFOODS,ADF FOODS LTD.-$
RGRL,Retro Green Revolution Ltd
WILLIMFI,WILLIAMSON FINANCIAL SERVICES LTD.
AJANTSOY,AJANTA SOYA LTD.
WILLAMAGOR,WILLIAMSON MAGOR & COMPANY LTD.
KISAAN,Kisaan Parivar Industries Ltd
SIEL,Superior Industrial Enterprises Limited
SPTRSHI,SAPTARISHI AGRO INDUSTRIES LTD.
SANWARIA,Sanwaria Consumer Ltd-$
PRIMAGR,PRIMA AGRO LTD.
TARAI,TARAI FOODS LTD.
MODAIRY,MODERN DAIRIES LTD.
BAMBINO,BAMBINO AGRO INDUSTRIES LTD.
PRIMIND,PRIME INDUSTRIES LTD.
VIKASWSP,VIKAS WSP LTD.
VSFPROJ,VSF PROJECTS LTD.
BANSTEA,BANSISONS TEA INDUSTRIES LTD.
POONADAL,POONA DAL & OIL INDUSTRIES LTD.
TRANSFD,TRANSGLOBE FOODS LTD.
ANIKINDS,ANIK INDUSTRIES LTD.
SHINDL,SHARAT INDUSTRIES LTD.
DATIWARE,Datiware Maritime Infra Ltd
KMGMILK,KMG MILK FOOD LTD.
KSE,KSE LTD.-$
NARBADA,NARBADA GEMS AND JEWELLERY LTD.
VIRATCRA,VIRAT CRANE INDUSTRIES LTD.
IBINFO,IB INFOTECH ENTERPRISES LTD.
AMBARPIL,Ambar Protein Industries Ltd
CHORDIA,CHORDIA FOOD PRODUCTS LTD.
CIANAGRO,CIAN Agro Industries & Infrastructure Ltd
OMEAG,OMEGA AG-SEEDS (PUNJAB) LTD.
TAIIND,TAI INDUSTRIES LTD.-$
NKIND,N.K.INDUSTRIES LTD.
BKV,BKV INDUSTRIES LTD.
NCCBLUE,NCC BLUE WATER PRODUCTS LTD.
NORBTEAEXP,NORBEN TEA & EXPORTS LTD.
ASIANTNE,ASIAN TEA & EXPORTS LTD.-$
HERITGFOOD,Heritage Foods Limited
SIMRAN,SIMRAN FARMS LTD.
HINDUST,HINDUSTAN AGRIGENETICS LTD.
CCL,CCL PRODUCTS (INDIA) LTD.
KELLTONTEC,Kellton Tech Solutions Ltd.
SURFI,SURYO FOODS & INDUSTRIES LTD.
INTEGFD,INTEGRATED PROTEINS LTD.
MAHAANF,MAHAAN FOODS LTD.
RICOAUTO,RICO AUTO INDUSTRIES LTD.
OMAXAUTO,OMAX AUTOS LTD.
MUNJALSHOW,MUNJAL SHOWA LTD.
JAMNAAUTO,JAMNA AUTO INDUSTRIES LTD.
TVSHLTD,TVS Holdings Ltd
JTEKTINDIA,Jtekt India Ltd
MUNJALAU,MUNJAL AUTO INDUSTRIES LTD.
JAYBARMARU,JAY BHARAT MARUTI LTD.
RACLGEAR,RACL Geartech Ltd
SAMKRG,SAMKRG PISTONS & RINGS LTD.-$
ECSTSTL,EAST COAST STEEL LTD.
RATNAMANI,RATNAMANI METALS & TUBES LTD.-$
VESUVIUS,VESUVIUS INDIA LTD.
ASAL,AUTOMOTIVE STAMPINGS & ASSEMBLIES LTD.
ARCEEIN,ARCEE INDUSTRIES LTD.
ABCINDQ,ABC INDIA LTD.-$
BALTE,BALURGHAT TECHNOLOGIES LTD.
COARO,COASTAL ROADWAYS LTD.
SIBARAUT,SIBAR AUTO PARTS LTD.
SHREYAS,SHREYAS SHIPPING & LOGISTICS LTD.
STARLOG,Starlog Enterprises Ltd
SHVSUIT,SHIVA SUITINGS LTD.
TITANIN,Titan Intech Ltd
EUROTEXIND,EUROTEX INDUSTRIES & EXPORTS LTD.
ICIL,INDO COUNT INDUSTRIES LTD.
MARALOVER,MARAL OVERSEAS LTD.
SOMATEX,SOMA TEXTILES & INDUSTRIES LTD.
ADVLIFE,ADVANCE LIFESTYLES LTD.
KAKTEX,KAKATIYA TEXTILES LTD.
OCTAVE,Perfect-Octave Media Projects Ltd
TRIDENT,TRIDENT LTD.
HISARSP,HISAR SPINNING MILLS LTD.
ALOKINDS,ALOK INDUSTRIES LTD.
PASARI,PASARI SPINNING MILLS LTD.
AMARJOTHI,AMARJOTHI SPINNING MILLS LTD.
OLYMPTX,OLYMPIA INDUSTRIES LTD.
NAGREEKEXP,NAGREEKA EXPORTS LTD.-$
SUDTIND-B,SUDITI INDUSTRIES LTD.
SBFL,Shree Bhavya Fabrics Ltd
GEMSPIN,GEM SPINNERS INDIA LTD.
EUREKAI,EUREKA INDUSTRIES LTD.
ADITYASP,ADITYA SPINNERS LTD.
PRIMEURB,PRIME URBAN DEVELOPMENT INDIA LTD.
DHANFAB,DHANLAXMI FABRICS LTD.
SLSTLQ,SRI LAKSHMI SARASWATHI TEXTILES (ARNI) LTD.-$
ZODIACLOTH,ZODIAC CLOTHING CO.LTD.
SRMCL,SRI RAMAKRISHNA MILLS (COIMBATORE) LTD.-$
SUPERSPIN,SUPER SPINNING MILLS LTD.
SILINV,SIL INVESTMENTS LTD.
SURYALAXMI,SURYALAKSHMI COTTON MILLS LTD.
SAMTEX,SAMTEX FASHIONS LTD.-$
CITYMAN,CITYMAN LTD.
DHANROTO,DHANALAXMI ROTO SPINNERS LTD.
DAMODARIND,DAMODAR INDUSTRIES LTD.-$
SANBLUE,SANBLUE CORPORATION LTD.
UNIROYAL,UNIROYAL INDUSTRIES LTD.
TATIAGLOB,TATIA GLOBAL VENNTURE LTD.
SUNILTX,SUNIL INDUSTRIES LTD.
SRINACHA,SRI NACHAMMAI COTTON MILLS LTD.-$
BGDL,Bharat Global Developers Ltd
SAMBANDAM,SAMBANDAM SPINNING MILLS LTD.-$
KANDAGIRI,KANDAGIRI SPINNING MILLS LTD.-$
MKPMOB,MKP Mobility Ltd
PARASPETRO,PARAS PETROFILS LTD.
KITEX,KITEX GARMENTS LTD.
CRANEX,CRANEX LTD.
BATLIBOI,BATLIBOI LTD.-$
AUSTENG,AUSTIN ENGINEERING CO.LTD.
UNIDT,UNITED DRILLING TOOLS LTD.
FLUIDOM,FLUIDOMAT LTD.
EMAINDIA,EMA INDIA LTD.
WINDMACHIN,WINDSOR MACHINES LTD.
SHANTIGEAR,SHANTHI GEARS LTD.
MIVENMACH,MIVEN MACHINE TOOLS LTD.
HONDAPOWER,Honda India Power Products Ltd
HITECHGEAR,The Hi-Tech Gears Ltd
ELGIEQUIP,ELGI EQUIPMENTS LTD.
UVDRHOR,UNITED VAN DER HORST LTD.
KLBRENG-B,KILBURN ENGINEERING LTD.
BIRLAPREC,BIRLA PRECISION TECHNOLOGIES LTD.
YUKEN,YUKEN INDIA LTD.-$
TIMKEN,TIMKEN INDIA LTD.
VOITHPAPR,VOITH PAPER FABRICS INDIA LTD.-$
SOLIMAC,SOLITAIRE MACHINE TOOLS LTD.
DIACABS,Diamond Power Infrastructure Limited-$
INDSILHYD,INDSIL HYDRO POWER AND MANGANESE LTD.-$
ITL,ITL INDUSTRIES LTD.-$
FRONTSP,FRONTIER SPRINGS LTD.
PRAJIND,PRAJ INDUSTRIES LTD.
RASANDIK,RASANDIK ENGINEERING INDUSTRIES INDIA LTD.-$
YOGISUNG,YOGI SUNG-WON (INDIA) LTD.
HLEGLAS,HLE Glascoat Ltd
GUJAPOLLO,GUJARAT APOLLO INDUSTRIES LTD.
TANAA,TANEJA AEROSPACE & AVIATION LTD.-$
CONART,CONART ENGINEERS LTD.-$
MINALIND,Minal Industries Limited
SHIVAGR,SHIVAGRICO IMPLEMENTS LTD.
MMFL,M.M.FORGINGS LTD.-$
MAYURUNIQ,MAYUR UNIQUOTERS LTD.-$
CENLUB,CENLUB INDUSTRIES LTD.
RAJOOENG,RAJOO ENGINEERS LTD.-$
DOLPHIN,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LTD.-$
VJLAXMIE,VEEJAY LAKSHMI ENGINEERING WORKS LTD.-$
AHMDSTE,AHMEDABAD STEELCRAFT LTD.
GET&D,GE T&D India Ltd
RAMRAT,RAM RATNA WIRES LTD.-$
JAYNECOIND,JAYASWAL NECO INDUSTRIES LTD.
KPIL,Kalpataru Projects International Ltd
NMSRESRC,NMS Resources Global Ltd
CANDOUR,Candour Techtex Ltd
TIGLOB,T & I GLOBAL LTD.
CONTROLPR,CONTROL PRINT LTD.-$
BEMHY,BEMCO HYDRAULICS LTD.
ANSALBU,ANSAL BUILDWELL LTD.-$
WEIZMANIND,WEIZMANN LTD.
BNRSEC,B.N.RATHI SECURITIES LTD.
RISHITECH,RISHI TECHTEX LTD.
SINCLAIR,SINCLAIRS HOTELS LTD.-$
SAFARI,SAFARI INDUSTRIES (INDIA) LTD.
ZBINTXPP,BINAYAK TEX PROCESSORS LTD.
JJFINCOR,J.J.FINANCE CORPORATION LTD.
COSMOFE,COSMO FERRITES LTD.-$
CROPSTER,Cropster Agro Ltd
FUTURSEC,FUTURISTIC SECURITIES LTD.
SANCTRN,SANCO TRANS LTD.
ADORMUL,ADOR MULTIPRODUCTS LTD.
EIHAHOTELS,EIH ASSOCIATED HOTELS LTD.-$
MEDICAPQ,MEDI-CAPS LTD.-$
OTCO,OTCO INTERNATIONAL LTD.
MORGANITE,MORGANITE CRUCIBLE (INDIA) LTD.
BAPACK,B&A Packaging India Limited
ABAN,ABAN OFFSHORE LTD.
KOKUYOCMLN,KOKUYO CAMLIN LTD.-$
SRMENERGY,SRM ENERGY LTD.
BHARATSE,BHARAT SEATS LTD.-$
CONTPTR,CONTINENTAL PETROLEUMS LTD.
NBFOOT,NB FOOTWEAR LTD.
MACPLASQ,MACHINO PLASTICS LTD.-$
PEARLPOLY,PEARL POLYMERS LTD.
VENKEYS,VENKY'S (INDIA) LTD.
ADVANIHOTR,ADVANI HOTELS & RESORTS (INDIA) LTD.
GVFILM,GV FILMS LTD.
SUPERHOUSE,SUPERHOUSE LTD.
RAMAVISION,RAMA VISION LTD.
TCPLPACK,TCPL PACKAGING LTD.-$
SHRIGANG,SHRI GANG INDUSTRIES AND ALLIED PRODUCTS LTD.
PURITY,PURITY FLEX PACK LTD.
BALMLAWRIE,BALMER LAWRIE & CO.LTD.
KOVAI,KOVAI MEDICAL CENTER & HOSPITAL LTD.
ELDEHSG,ELDECO HOUSING & INDUSTRIES LTD.
MICROSE,MICROSE INDIA LTD.
DCMSHRIRAM,DCM Shriram Limited
DCMSRIND,DCM SHRIRAM INDUSTRIES LTD.-$
MAWANASUG,MAWANA SUGARS LTD.
MINID,MINI DIAMONDS (INDIA) LTD.
MAHAPEXLTD,MAHA RASHTRA APEX CORPORATION LTD.
NILKAMAL,NILKAMAL LTD.
NAHARPOLY,NAHAR POLYFILMS LTD.
3MINDIA,3M INDIA LTD.
JCHAC,Johnson Controls-Hitachi Air Conditioning India Ltd
JMFINANCIL,JM FINANCIAL LTD.-$
ADCINDIA,ADC India Communications Limited-$
TNTELE,TAMILNADU TELECOMMUNICATIONS LTD.
SUNRAJDI,SUNRAJ DIAMOND EXPORTS LTD.
RIIL,RELIANCE INDUSTRIAL INFRASTRUCTURE LTD.
LINDEINDIA,Linde India Limited
INDBNK,IND BANK HOUSING LTD.
JAIMATAG,JAI MATA GLASS LTD.
LOTUSCHO,LOTUS CHOCOLATE CO.LTD.
PACIFICI,PACIFIC INDUSTRIES LTD.
CMMHOSP,CHENNAI MEENAKSHI MULTISPECIALITY HOSPITAL LTD.-$
UNIOFFICE,UNIVERSAL OFFICE AUTOMATION LTD.
APMIN,APM INDUSTRIES LTD.-$
PRECWIRE,PRECISION WIRES INDIA LTD.
KRYPTONQ,KRYPTON INDUSTRIES LTD.
SWISSMLTRY,Swiss Military Consumer Goods Ltd
MARBU,MARTIN BURN LTD.
FEL,Future Enterprises Ltd
INDTONER,INDIAN TONERS & DEVELOPERS LTD.-$
KUNSTOFF,KUNSTSTOFFE INDUSTRIES LTD.
SCI,SHIPPING CORPORATION OF INDIA LTD.
SIKA,SIKA INTERPLANT SYSTEMS LTD.
ITI,ITI LTD.
DREDGECORP,DREDGING CORPORATION OF INDIA LTD.
PHRMASI,PHAARMASIA LTD.
PODDARHOUS,Poddar Housing and Development Ltd
NFL,NATIONAL FERTILIZERS LTD.
IPRINGLTD,IP RINGS LTD.-$
PIIND,PI Industries Ltd
PLASTIBLEN,PLASTIBLENDS INDIA LTD.-$
YASHINNO,Yash Innoventures Ltd
WATERBASE,WATERBASE LTD.
FLEXFO,FLEX FOODS LTD.-$
GOLKUNDIA,GOLKUNDA DIAMONDS & JEWELLERY LTD.
APCOTEXIND,APCOTEX INDUSTRIES LTD.
FORTISMLR,Fortis Malar Hospitals Limited
MASTEK,MASTEK LTD.
EIMCOELECO,EIMCO ELECON (INDIA) LTD.
SAYAJIHOTL,SAYAJI HOTELS LTD.
JMGCORP,JMG CORPORATION LTD.
ASHIANA,ASHIANA HOUSING LTD.-$
SVAMSOF,SVAM SOFTWARE LTD.
ECOBOAR,ECOBOARD INDUSTRIES LTD.
DVL,Dhunseri Ventures Ltd-$
TIHIL,Trans India House Impex Ltd
MAHEPC,Mahindra EPC Irrigation Ltd
MITSHI,Mitshi India Ltd
SHUKJEW,SHUKRA JEWELLERS LTD.
MAZDA,MAZDA LTD.-$
VHLTD,VICEROY HOTELS LTD.
SOVERDIA,SOVEREIGN DIAMONDS LTD.
MENONBE,MENON BEARINGS LTD.-$
MUKATPIP,MUKAT PIPES LTD.-$
GUJRAFFIA,GUJARAT RAFFIA INDUSTRIES LTD.
SIMPLEXINF,SIMPLEX INFRASTRUCTURES LTD.
INNOVTEC,INNOVATIVE TECH PACK LTD.
SUPTANERY,Super Tannery Limited
CONSTRONIC,Constronics Infra Ltd
AXTEL,AXTEL INDUSTRIES LTD.
EASTINDIA,East India Drums and Barrels Manufacturing Ltd
VRWODAR,V R WOODART LTD.
APIL,Avi Products India Ltd
POONAWALLA,Poonawalla Fincorp Ltd
HINFLUR,HINDUSTAN FLUOROCARBONS LTD.
KINGFA,Kingfa Science & Technology (India) Ltd-$
PATIDAR,Patidar Buildcon Limited
RAMAPHO,RAMA PHOSPHATES LTD.
VENLONENT,VENLON ENTERPRISES LTD.
PETPLST,PET PLASTICS LTD.
POLYPLEX,POLYPLEX CORPORATION LTD.
ALBERTDAVD,ALBERT DAVID LTD.-$
HARLETH,HARYANA LEATHER CHEMICALS LTD.
CARYSIL,Carysil Ltd
KABRAEXTRU,KABRA EXTRUSIONTECHNIK LTD.
VINYLINDIA,VINYL CHEMICALS (INDIA) LTD.
PCCOSMA,PEE CEE COSMA SOPE LTD.
TCMLMTD,TCM LTD.
IOLCP,IOL CHEMICALS & PHARMACEUTICALS LTD.
KESARPE,KESAR PETROPRODUCTS LTD.
VINATIORGA,VINATI ORGANICS LTD.-$
LACTOSE,LACTOSE (INDIA) LTD.
TEEAI,TEESTA AGRO INDUSTRIES LTD.
AARTIIND,AARTI INDUSTRIES LTD.
PNTKYOR,PENTOKEY ORGANY (INDIA) LTD.
WANBURY,WANBURY LTD.
RESONANCE,RESONANCE SPECIALTIES LTD.-$
GAEL,GUJARAT AMBUJA EXPORTS LTD.
RCF,RASHTRIYA CHEMICALS & FERTILIZERS LTD.
KOPRAN,KOPRAN LTD.
AIMCOPEST,AIMCO PESTICIDES LTD.
GUJTERC,GUJARAT TERCE LABORATORIES LTD.
SEYAIND,SEYA INDUSTRIES LTD.
JAYAGROGN,JAYANT AGRO-ORGANICS LTD.
BCLIND,BCL Industries Ltd-$
SHHARICH,SHREE HARI CHEMICALS EXPORT LTD.
INDOBORAX,INDO BORAX & CHEMICALS LTD.-$
AARTIDRUGS,AARTI DRUGS LTD.
BODALCHEM,BODAL CHEMICALS LTD.
ORCHPHARMA,Orchid Pharma Ltd
VIMTALABS,VIMTA LABS LTD.-$
BIOFILCHEM,BIOFIL CHEMICALS & PHARMACEUTICALS LTD.
ISHITADR,ISHITA DRUGS & INDUSTRIES LTD.
MARKSANS,MARKSANS PHARMA LTD.
UNIVSTAR,UNIVERSAL STARCH-CHEM ALLIED LTD.
AAREYDRUGS,AAREY DRUGS & PHARMACEUTICALS LTD.
NORRIS,NORRIS MEDICINES LTD.
ASINPET,ASIAN PETROPRODUCTS & EXPORTS LTD.
CAMEXLTD,CAMEX LTD.
EVEXIA,Evexia Lifecare Ltd
INDOEURO,INDO EURO INDCHEM LTD.
SYNCOMF,SYNCOM FORMULATIONS (INDIA) LTD.-$
RIDDHI,RIDDHI SIDDHI GLUCO BIOLS LTD.-$
SVCIND,SVC INDUSTRIES Ltd
IPCALAB,IPCA LABORATORIES LTD.
KILITCH,KILITCH DRUGS (INDIA) LTD.
RAAJMEDI,RAAJ MEDISAFE INDIA LTD.
REVAORG,REVATI ORGANICS LTD.
CORALAB,CORAL LABORATORIES LTD.
TULASEEBIOE,TULASEE BIO-ETHANOL LTD.
BACPHAR,BACIL PHARMA LTD.
KREBSBIO,KREBS BIOCHEMICALS & INDUSTRIES LTD.-$
KMCSHIL,KMC SPECIALITY HOSPITALS (INDIA) LTD.
LAFFANSQ,LAFFANS PETROCHEMICALS LTD.-$
BHASKAGR,BHASKAR AGROCHEMICALS LTD.
SUKHJITS,SUKHJIT STARCH & CHEMICALS LTD.-$
SATAGRI,Satiate Agri Ltd
SHARMEH,SHARMA EAST INDIA HOSPITALS & MEDICAL RESEARCH LTD.
NEULANDLAB,NEULAND LABORATORIES LTD.
GAYATRIBI,GAYATRI BIOORGANICS LTD.
PODDARMENT,PODDAR PIGMENTS LTD.-$
PHARMAID,PHARMAIDS PHARMACEUTICALS LTD.
VIVIDIND,VIVID GLOBAL INDUSTRIES LTD.
PRIYALT,PRIYA LTD.-$
TIRUSTA,TIRUPATI STARCH & CHEMICALS LTD.
HEMORGANIC,Hemo Organic Limited
JAYSYNTH,Jaysynth Orgochem Ltd
AEONXDIGI,Aeonx Digital Technology Ltd
AKSHARCHEM,AKSHARCHEM (INDIA) LTD.-$
BANDARAM,Bandaram Pharma Packtech Ltd
ADLINE,Adline Chem Lab Ltd
BERLDRG,BERYL DRUGS LTD.
INDXTRA,IEL Ltd
ISTRNETWK,iStreet Network Limited
GAGAN,GAGAN GASES LTD.
PARKERAC,PARKER AGROCHEM EXPORTS LTD.-$
SHUKRAPHAR,Shukra Pharmaceuticals Ltd
ALUFLUOR,ALUFLUORIDE LTD.
OXYGENTAPH,Oxygenta Pharmaceutical Ltd
ARCHITORG,ARCHIT ORGANOSYS LTD.
SIKOZY,Sikozy Realtors Limited
INDOAMIN,INDO AMINES LTD.-$
INDSWFTLTD,IND-SWIFT LTD.
NATCAPSUQ,NATURAL CAPSULES LTD.
BIBCL,BHARAT IMMUNOLOGICALS & BIOLOGICALS CORPORATION LTD.-$
SOTL,SAVITA OIL TECHNOLOGIES LTD.
HESTERBIO,HESTER BIOSCIENCES LTD.
KABSON,KABSONS INDUSTRIES LTD.
BASANTGL,BASANT AGRO TECH (INDIA) LTD.-$
SANDUPHQ,SANDU PHARMACEUTICALS LTD.
NACLIND,NACL Industries Ltd
VISTAPH,VISTA PHARMACEUTICALS LTD.
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD.
TITANBIO,TITAN BIOTECH LTD.
BIJHANS,BIJOY HANS LTD.
SDL,Span Divergent Ltd-$
JENBURPH,JENBURKT PHARMACEUTICALS LTD.
HIKAL,HIKAL LTD.
CAPLIPOINT,CAPLIN POINT LABORATORIES LTD.
FISCHER,Fischer Medical Ventures Ltd
LINKPH,LINK PHARMA CHEM LTD.
DECIPHER,Decipher Labs Ltd
EMMESSA,EMMESSAR BIOTECH & NUTRITION LTD.
NGLFINE,NGL FINE-CHEM LTD.
EVERESTO,EVEREST ORGANICS LTD.
AUROPHARMA,AUROBINDO PHARMA LTD.
PHYTO,PHYTO CHEM (INDIA) LTD.
NATCOPHARM,NATCO PHARMA LTD.
DYNAMIND,DYNAMIC INDUSTRIES LTD.-$
PANAMAPET,PANAMA PETROCHEM LTD.
BALPHARMA,BAL PHARMA LTD.
BDH,BDH INDUSTRIES LTD.
JAUSPOL,JAUSS POLYMERS LTD.
GLOBUSCON,Globus Constructors & Developers Limited
CUBEXTUB,CUBEX TUBINGS LTD.
POLYCHMP,POLYMECHPLAST MACHINES LTD.
STELLANT,STELLANT SECURITIES (INDIA) LTD.
GALXBRG,GALAXY BEARINGS LTD.
SCAGRO,SC Agrotech Ltd
RALEGRA,RAVILEELA GRANITES LTD.
UNRYLMA,UNIROYAL MARINE EXPORTS LTD.
SHERVANI,SHERVANI INDUSTRIAL SYNDICATE LTD.
BNHOLDINGS,BN Holdings Ltd
SUPERTEX,SUPERTEX INDUSTRIES LTD.
SHETR,SHETRON LTD.
TRABI,TRANSGENE BIOTEK LTD.
MPL,MPL Plastics Limited
NIKHILAD,NIKHIL ADHESIVES LTD.-$
SPENTA,SPENTA INTERNATIONAL LTD.
MULTIBASE,MULTIBASE INDIA LTD.
ANDREWYU,ANDREW YULE & COMPANY LTD.
LUDLOWJUT,LUDLOW JUTE & SPECIALITIES LTD.
ASHRAM,ASHRAM ONLINE.COM LTD.
ROYALCU,ROYAL CUSHION VINYL PRODUCTS LTD.-$
SURJIND,SURAJ INDUSTRIES LTD.
HITECHCORP,Hitech Corporation Ltd-$
FILATEX,FILATEX INDIA LTD.-$
STDSFAC,STANDARD SURFACTANTS LTD.
MORGAN,MORGAN VENTURES LTD.
AMRAPLIN,AMRAPALI INDUSTRIES LTD.
PREMEXPLN,PREMIER EXPLOSIVES LTD.
MIDEASTP,MID EAST PORTFOLIO MANAGEMENT LTD.
MOLDTECH,MOLD-TEK TECHNOLOGIES LTD.
CRSTCHM,CRESTCHEM LTD.
MPHASIS,MPHASIS LTD.
MEDINOV,MEDINOVA DIAGNOSTIC SERVICES LTD.
DIVSHKT,Divyashakti Ltd
ORIENTLTD,ORIENT PRESS LTD.
SHREYASI,SHREYAS INTERMEDIATES LTD.
PANJON,PANJON LTD.
NIRBHAYIND,Nirbhay Colours India Ltd
DUROPACK,DUROPACK LTD.
SWARNSAR,Swarnsarita Jewels India Ltd
GANESHHOUC,GANESH HOUSING CORPORATION LTD.-$
NMDC,NMDC LTD.
CINDHO,CINDRELLA HOTELS LTD.-$
PATINTLOG,PATEL INTEGRATED LOGISTICS LTD.-$
ALPHAGEO,ALPHAGEO (INDIA) LTD.-$
HAMPTON,Hampton Sky Realty Ltd
KKALPANAIND,Kkalpana Industries (India) Ltd
OKPLA,OK PLAY INDIA LTD.
KRITI,KRITI INDUSTRIES (INDIA) LTD.-$
ASMTEC,ASM TECHNOLOGIES LTD.
PERFEPA,PERFECTPAC LTD.
AMBIT,AMBITIOUS PLASTOMAC COMPANY LTD.
VISIONCINE,VISION CINEMAS LTD.
AEIM,Artificial Electronics Intelligent Material Ltd
INDRANIB,INDRAYANI BIOTECH LTD.
EUROLED,EURO LEDER FASHION LTD.
WINSOMBR,WINSOME BREWERIES LTD.
ELEFLOR,ELEGANT FLORICULTURE & AGROTECH (INDIA) LTD.
SAENTER,SOUTH ASIAN ENTERPRISES LTD.
SKYIND,SKY INDUSTRIES LTD.-$
PHOENXINTL,PHOENIX INTERNATIONAL LTD.
BHUDEVI,Bhudevi Infra Projects Ltd
PRATIK,PRATIK PANELS LTD.
RISHIROOP,Rishiroop Ltd
PROMACT,Promact Impex Ltd
STRGRENWO,STERLING GREEN WOODS LTD.
SYSTMTXC,SYSTEMATIX CORPORATE SERVICES LTD.
SHAHISHIP,Shahi Shipping Ltd-$
ALPINEHOU,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.
SANGHIIND,SANGHI INDUSTRIES LTD.
WWALUM,Worldwide Aluminium Ltd
IIRM,IIRM Holdings India Ltd
SFPIL,Square Four Projects India Limited
SCANPGEOM,SCANPOINT GEOMATICS LTD.
CHOKSILA,CHOKSI LABORATORIES LTD.
CCHHL,Country Club Hospitality & Holidays Ltd
LONTE,LONGVIEW TEA COMPANY LTD.
MIDWEST,MIDWEST GOLD LTD.
ENTRINT,ENTERPRISE INTERNATIONAL LTD.
TECHIN,TECHINDIA NIRMAN LIMITED
TPLPLASTEH,TPL PLASTECH LTD.
WIMPLAST,WIM PLAST LTD.-$
PHOTOQUP,PHOTOQUIP INDIA LTD.
LIBERTSHOE,LIBERTY SHOES LTD.
LIPPISYS,LIPPI SYSTEMS LTD.-$
ELECTHERM,ELECTROTHERM (INDIA) LTD.
BLUEDART,BLUE DART EXPRESS LTD.
EXPOGAS,EXPO GAS CONTAINERS LTD.
NATPLAS,NATIONAL PLASTIC INDUSTRIES LTD.
MFLINDIA,MFL INDIA LTD.
AJWAFUN,AJWA FUN WORLD & RESORT LTD.
TEXELIN,TEXEL INDUSTRIES LTD.
RAYALEMA,ROYALE MANOR HOTELS & INDUSTRIES LTD.
MIRZAINT,MIRZA INTERNATIONAL LTD.
TFCILTD,TOURISM FINANCE CORPORATION OF INDIA LTD.
THAKDEV,THAKKERS DEVELOPERS LTD.
ARENTERP,RAJDARSHAN INDUSTRIES LTD.
BIL,BHARTIYA INTERNATIONAL LTD.
KAMATHOTEL,KAMAT HOTELS (INDIA) LTD.
TIRTPLS,TIRTH PLASTIC LTD.
KEEPLEARN,DSJ keep Learning Ltd
POLOHOT,POLO HOTELS LTD.
ECOPLAST,ECOPLAST LTD.-$
ELEMARB,ELEGANT MARBLES & GRANI INDUSTRIES LTD.
BITS,BITS LTD.
ADARSHPL,ADARSH PLANT PROTECT LTD.
HPBL,HCP Plastene Bulkpack Ltd
NICCOPAR,NICCO PARKS & RESORTS LTD.-$
NTCIND,NTC INDUSTRIES LTD.
SANDESH,SANDESH LTD.
GARNET,GARNET CONSTRUCTION LTD.
GOLDIAM,GOLDIAM INTERNATIONAL LTD.
BRIGHTBR,BRIGHT BROTHERS LTD.-$
SHAWGELTIN,NARMADA GELATINES LTD.
PGFOILQ,PG FOILS LTD.
GRATEXI,GRATEX INDUSTRIES LTD.
VELHO,VELAN HOTELS LTD.
HOWARHO,HOWARD HOTELS LTD.
PRESSURS,PRESSURE SENSITIVE SYSTEMS (INDIA) LTD.
VALIANT,VALIANT COMMUNICATIONS LTD.-$
DRAGARWQ,DR.AGARWALS EYE HOSPITAL LTD.-$
MHSGRMS,MAHASAGAR TRAVELS LTD.
GREENPLY,GREENPLY INDUSTRIES LTD.
SEAMECLTD,SEAMEC LTD.
RAGHUNAT,RAGHUNATH INTERNATIONAL LTD.
CHEVIOT,CHEVIOT CO.LTD.-$
DAICHI,DAI-ICHI KARKARIA LTD.-$
RAJINFRA,Rajeswari Infrastructure Limited
SPICEISLIN,Spice Islands Industries Ltd-$
CONFIPET,CONFIDENCE PETROLEUM INDIA LTD.
SIPL,SHELTER INFRA PROJECTS LTD.-$
SHAKTIPR,SHAKTI PRESS LTD.
ASHSI,ASHIRWAD STEELS & INDUSTRIES LTD.
BANARBEADS,BANARAS BEADS LTD.
AREXMIS,AREX INDUSTRIES LTD.
BI,BILCARE LTD.-$
ISFL,ISF LIMITED
RISHILASE,RISHI LASER LTD.
JAINCO,JAINCO PROJECTS (INDIA) LTD.
